placeId,address,category,phone,googleUrl,bizWebsite,storeName,ratingText,stars,numberOfReviews
place,"Jl. Prajurit KKO Usman dan Harun No.42 1, RT.1/RW.5Tutup ⋅ Buka Sen pukul 08.00","Kantor Perwakilan Bank Indonesia Provinsi DKI Jakarta  4,4(241)Bank",(021) 3453494,https://www.google.com/maps/place/Kantor+Perwakilan+Bank+Indonesia+Provinsi+DKI+Jakarta/data=!4m7!3m6!1s0x2e69f436a62c8bf5:0xb65bab7742b88ed6!8m2!3d-6.1804137!4d106.8358231!16s%2Fg%2F11bw472qq7!19sChIJ9Ysspjb0aS4R1o64QnerW7Y?authuser=0&hl=id&rclk=1,,Kantor Perwakilan Bank Indonesia Provinsi DKI Jakarta,4.4(241),,
place,"Jl. Petojo Binatu II No.20B, RT.4/RW.8Tutup ⋅ Buka Sen pukul 08.30","Bank DKI  4,2(97)Bank",(021) 80655555,https://www.google.com/maps/place/Bank+DKI/data=!4m7!3m6!1s0x2e69f678c0648df5:0xf7215548d49e363f!8m2!3d-6.1693771!4d106.8185951!16s%2Fg%2F11b6t3ltzr!19sChIJ9Y1kwHj2aS4RPzae1EhVIfc?authuser=0&hl=id&rclk=1,,Bank DKI,4.2(97),,
place,"Jl. Kebon Sirih No.72-74, RT.2/RW.3Tutup ⋅ Buka Sen pukul 07.30","Bank Indonesia, Gedung Arsek-Tipikal  4,6(77)Kantor Pemerintah Negara Bagian",(021) 29818000,"https://www.google.com/maps/place/Bank+Indonesia,+Gedung+Arsek-Tipikal/data=!4m7!3m6!1s0x2e69f4299dd8e2a9:0x634252acaf95daef!8m2!3d-6.1826545!4d106.8206391!16s%2Fg%2F11c2pzk3bc!19sChIJqeLYnSn0aS4R79qVr6xSQmM?authuser=0&hl=id&rclk=1",,"Bank Indonesia, Gedung Arsek-Tipikal",4.6(77),,
place,Jl. Tiang Bendera III No.26-32Tutup ⋅ Buka Sen pukul 07.30,"Bank Jasa Jakarta - Kantor Pusat  4,3(22)Bank",(021) 6902611,https://www.google.com/maps/place/Bank+Jasa+Jakarta+-+Kantor+Pusat/data=!4m7!3m6!1s0x2e69f6027ed75911:0xc784fd50061fc967!8m2!3d-6.1362772!4d106.8093805!16s%2Fg%2F11r8_06yx!19sChIJEVnXfgL2aS4RZ8kfBlD9hMc?authuser=0&hl=id&rclk=1,,Bank Jasa Jakarta - Kantor Pusat,4.3(22),,
place,Jl. Gajah Mada No.27E-FTutup ⋅ Buka Sen pukul 07.30,"Bank Jasa Jakarta  5,0(1)Bank",(021) 6332668,https://www.google.com/maps/place/Bank+Jasa+Jakarta/data=!4m7!3m6!1s0x2e69f609b12b0b4d:0x307a3df85bb4db2f!8m2!3d-6.1591079!4d106.818421!16s%2Fg%2F11r9cbtrm!19sChIJTQsrsQn2aS4RL9u0W_g9ejA?authuser=0&hl=id&rclk=1,,Bank Jasa Jakarta,5.0(1),,
place,Pertokoan Glodok Plaza Blok H No. 37-38Tutup ⋅ Buka Sen pukul 08.30,Bank Jasa Jakarta  Tidak ada ulasanBank,(021) 6280202,https://www.google.com/maps/place/Bank+Jasa+Jakarta/data=!4m7!3m6!1s0x2e69f60773b8bc73:0xb7accbdd3b8f9959!8m2!3d-6.142912!4d106.8169493!16s%2Fg%2F1q62k_xn8!19sChIJc7y4cwf2aS4RWZmPO93LrLc?authuser=0&hl=id&rclk=1,,Bank Jasa Jakarta,Tidak ada ulasan,,
place,"Gedung Samporna Strategic Square Lt. Mezzanine, Jl. Jend. Sudirman Kav. 45-46, Karet Semanggi, Setiabudi, RT.3/RW.4Tutup ⋅ Buka Sen pukul 08.00","Bank Mandiri Jakarta Gedung Sampoerna Strategic  4,9(65)Bank",(021) 57952108,https://www.google.com/maps/place/Bank+Mandiri+Jakarta+Gedung+Sampoerna+Strategic/data=!4m7!3m6!1s0x2e69f154d5a28c97:0x9a8b1ed1fe5c5935!8m2!3d-6.2167773!4d106.8181787!16s%2Fg%2F1pzrckpq1!19sChIJl4yi1VTxaS4RNVlc_tEei5o?authuser=0&hl=id&rclk=1,,Bank Mandiri Jakarta Gedung Sampoerna Strategic,4.9(65),,
place,"Gedung Prasada Sasana Karya, Jl. Suryopranoto No.8 4, RT.1/RW.8Tutup ⋅ Buka Sen pukul 08.00","Bank DKI  4,2(5)Bank",,https://www.google.com/maps/place/Bank+DKI/data=!4m7!3m6!1s0x2e69f7c679d441a7:0x6685d4b173ce35e5!8m2!3d-6.1695711!4d106.8180872!16s%2Fg%2F11q88trkby!19sChIJp0HUecb3aS4R5TXOc7HUhWY?authuser=0&hl=id&rclk=1,,Bank DKI,4.2(5),,
place,Jl. Matraman Raya No.52 Lt.3Tutup ⋅ Buka Sen pukul 08.00,"PT Bank Danamon Indonesia, Tbk - Kanwil I DKI Jakarta  4,3(86)Bank",1 500 090,"https://www.google.com/maps/place/PT+Bank+Danamon+Indonesia,+Tbk+-+Kanwil+I+DKI+Jakarta/data=!4m7!3m6!1s0x2e69f46451bbf82f:0xcc523d70f354ecdb!8m2!3d-6.2033468!4d106.8565111!16s%2Fg%2F11f_j9jcgb!19sChIJL_i7UWT0aS4R2-xU83A9Usw?authuser=0&hl=id&rclk=1",,"PT Bank Danamon Indonesia, Tbk - Kanwil I DKI Jakarta",4.3(86),,
place,"Wisma Bisnis Indonesia, Jl. K.H. Mas Mansyur No.12 A, RT.10/RW.6Tutup ⋅ Buka Sen pukul 08.00","Bank Mandiri Jakarta Wisma Bisnis Indonesia  4,5(8)Bank",(021) 5900645,https://www.google.com/maps/place/Bank+Mandiri+Jakarta+Wisma+Bisnis+Indonesia/data=!4m7!3m6!1s0x2e69f6a7e8e80957:0x9245d7e49d2a7569!8m2!3d-6.2060202!4d106.815871!16s%2Fg%2F1tcy_0j3!19sChIJVwno6Kf2aS4RaXUqneTXRZI?authuser=0&hl=id&rclk=1,,Bank Mandiri Jakarta Wisma Bisnis Indonesia,4.5(8),,
