Nama,Kategori,Telepon,Website,Alamat,Rating,Link Google Map,Verified
Nasi goreng Ocit putraenjoy,"Nasi goreng Ocit putraenjoy  5,0(3)Nasi Goreng",,,"samping mie rica kejaksaan, Jl. Kejaksaan No.11Buka 24 jam",,https://www.google.comhttps://www.google.com/maps/place/Nasi+goreng+Ocit+putraenjoy/data=!4m7!3m6!1s0x2e68e71fdbb76207:0x9a310cb078a7c6f!8m2!3d-6.9183345!4d107.6104807!16s%2Fg%2F11j8mbszql!19sChIJB2K32x_naC4Rb3yKB8sQowk?authuser=0&hl=id&rclk=1,Tidak
Nasi Goreng Pinggir Jalan,Nasi Goreng Pinggir Jalan  Tidak ada ulasanIndonesia,,,Jl. Lembong No.18,,https://www.google.comhttps://www.google.com/maps/place/Nasi+Goreng+Pinggir+Jalan/data=!4m7!3m6!1s0x2e68e7f00d374d6b:0x69025eed3ed0bd7e!8m2!3d-6.9165997!4d107.6099566!16s%2Fg%2F11pv5s5tlf!19sChIJa003DfDnaC4Rfr3QPu1eAmk?authuser=0&hl=id&rclk=1,Tidak
Nasi Goreng Asia afrika km 0 bdg,"Nasi Goreng Asia afrika km 0 bdg  5,0(1)Nasi Goreng",,,"3JH6+C86, Jl. Asia AfrikaBuka 24 jam",,https://www.google.comhttps://www.google.com/maps/place/Nasi+Goreng+Asia+afrika+km+0+bdg/data=!4m7!3m6!1s0x2e68e725ed26cfb9:0xd8c411099befc2a4!8m2!3d-6.9214734!4d107.6107722!16s%2Fg%2F11gk0c8_fq!19sChIJuc8m7SXnaC4RpMLvmwkRxNg?authuser=0&hl=id&rclk=1,Tidak
Nasi Goreng Bu.Ai.BRAGA.Gg.Afandi,"Nasi Goreng Bu.Ai.BRAGA.Gg.Afandi  4,8(4)",Jl. Braga No.81Tutup ⋅ Buka pukul 16.00,,$Nasi Goreng,,https://www.google.comhttps://www.google.com/maps/place/Nasi+Goreng+Bu.Ai.BRAGA.Gg.Afandi/data=!4m7!3m6!1s0x2e68e704f20f90a5:0x4e526899edb71535!8m2!3d-6.9174516!4d107.609234!16s%2Fg%2F11jblwfy5q!19sChIJpZAP8gTnaC4RNRW37ZloUk4?authuser=0&hl=id&rclk=1,Tidak
Nasi Goreng AA Billy,"Nasi Goreng AA Billy  3,7(3)Nasi Goreng",,,3JR6+4G6Buka ⋅ Tutup pukul 17.00,,https://www.google.comhttps://www.google.com/maps/place/Nasi+Goreng+AA+Billy/data=!4m7!3m6!1s0x2e68e755ac0ed2d3:0xc75202b6da081320!8m2!3d-6.9097155!4d107.6112784!16s%2Fg%2F11hz1tp7p9!19sChIJ09IOrFXnaC4RIBMI2rYCUsc?authuser=0&hl=id&rclk=1,Tidak
Nasi Goreng NSP,"Nasi Goreng NSP  4,7(3)Nasi Goreng",,,Jl. Lembong No.11Tutup ⋅ Buka pukul 18.00,,https://www.google.comhttps://www.google.com/maps/place/Nasi+Goreng+NSP/data=!4m7!3m6!1s0x2e68e74b36c0645d:0x851d239ff43fca5d!8m2!3d-6.9174277!4d107.6118414!16s%2Fg%2F11t5lfxpcw!19sChIJXWTANkvnaC4RXco_9J8jHYU?authuser=0&hl=id&rclk=1,Tidak
Nasi Goreng Pa Wawan,"Nasi Goreng Pa Wawan  4,8(12)Nasi Goreng",,,Jl. SundaBuka ⋅ Tutup pukul 12.00,,https://www.google.comhttps://www.google.com/maps/place/Nasi+Goreng+Pa+Wawan/data=!4m7!3m6!1s0x2e68e62dae3863b5:0xe6ad7ecac462e1cd!8m2!3d-6.9198989!4d107.6180327!16s%2Fg%2F11f093lfr9!19sChIJtWM4ri3maC4RzeFixMp-reY?authuser=0&hl=id&rclk=1,Tidak
Nasi goreng anugrah,"Nasi goreng anugrah  4,1(50)Nasi Goreng",,,Gg. Mukalmi No.100Buka 24 jam,,https://www.google.comhttps://www.google.com/maps/place/Nasi+goreng+anugrah/data=!4m7!3m6!1s0x2e68e7bfeaa3d617:0x636cd650fd63fcb9!8m2!3d-6.9204773!4d107.5897829!16s%2Fg%2F11n5bpyvkn!19sChIJF9aj6r_naC4Rufxj_VDWbGM?authuser=0&hl=id&rclk=1,Tidak
Nasi Goreng,Nasi Goreng  Tidak ada ulasanNasi Goreng,,,Jl. Cibadak No.170Buka 24 jam,,https://www.google.comhttps://www.google.com/maps/place/Nasi+Goreng/data=!4m7!3m6!1s0x2e68e7101dd12057:0x2ab6379c58b1b2da!8m2!3d-6.9213187!4d107.5981511!16s%2Fg%2F11k9p7b677!19sChIJVyDRHRDnaC4R2rKxWJw3tio?authuser=0&hl=id&rclk=1,Tidak
Nasi Goreng Patung Persib,"Nasi Goreng Patung Persib  4,5(14)Nasi Goreng",,,Jl. Lembong No.17Tutup ⋅ Buka pukul 18.00,,https://www.google.comhttps://www.google.com/maps/place/Nasi+Goreng+Patung+Persib/data=!4m7!3m6!1s0x2e68e63024946cb3:0xb99b6814d954c9df!8m2!3d-6.9171101!4d107.6120066!16s%2Fg%2F11dyx9f9rs!19sChIJs2yUJDDmaC4R38lU2RRom7k?authuser=0&hl=id&rclk=1,Tidak
